"","STATENAME","URL","WEBSITE","ACTIVITY.LEVEL","ACTIVITY.LEVEL.LABEL","WEEKEND","WEEK","SEASON","integerActivityLevel"
"1","Alabama","http://adph.org/influenza/","Influenza Surveillance","Level 2","Minimal","Oct-06-2018",40,"2018-19",2
"2","Alaska","http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20","Influenza Surveillance Report","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"3","Arizona","http://www.azdhs.gov/phs/oids/epi/flu/index.htm","Influenza & RSV Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"4","Arkansas","http://www.healthy.arkansas.gov/programs-services/topics/influenza","Communicable Disease and Immunizations","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"5","California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx","Influenza (Flu)","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"6","Colorado","https://www.colorado.gov/pacific/cdphe/influenza","Influenza Surveillance","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"7","Connecticut","http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics","Flu Statistics","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"8","Delaware","http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html","Weekly Influenza Surveillance Reports","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"9","District of Columbia","http://doh.dc.gov/page/influenza-season","Influenza Information","Level 2","Minimal","Oct-06-2018",40,"2018-19",2
"10","Florida","http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20","Weekly Influenza Surveillance Reports","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"11","Georgia","https://dph.georgia.gov/flu-activity-georgia","Weekly Influenza Surveillance in Georgia","Level 3","Minimal","Oct-06-2018",40,"2018-19",3
"12","Hawaii","http://health.hawaii.gov/docd/resources/reports/influenza-reports/","Hawaii's Influenza Surveillance Program","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"13","Idaho","http://flu.idaho.gov","Influenza","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"14","Illinois","http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance","Seasonal Influenza Surveillance Reports","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"15","Indiana","http://www.in.gov/isdh/22104.htm","Influenza in Indiana","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"16","Iowa","http://idph.iowa.gov/influenza/surveillance","Iowa Influenza Surveillance Network","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"17","Kansas","http://www.kdheks.gov/flu/surveillance.htm","Influenza Information","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"18","Kentucky","https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx","Influenza - Flu","Level 1","Minimal","Oct-06-2018",40,"2018-19",1
"19","Louisiana","http://new.dhh.louisiana.gov/index.cfm/page/1591","Influenza","Level 3","Minimal","Oct-06-2018",40,"2018-19",3
