"usStatelocation","Freq"
"alabama",31
"arizona",34
"arkansas",15
"california",171
"colorado",23
"connecticut",14
"delaware",4
"district of columbia",29
"florida",61
"georgia",45
"illinois",58
"indiana",20
"iowa",7
"kansas",233
"kentucky",61
"louisiana",30
"maine",5
"maryland",24
"massachusetts",33
"michigan",36
"minnesota",8
"mississippi",4
"missouri",33
"montana",4
"nebraska",9
"nevada",14
"new hampshire",1
"new jersey",29
"new mexico",7
"new york",50
"north carolina",81
"north dakota",1
"ohio",91
"oklahoma",31
"oregon",36
"pennsylvania",63
"rhode island",11
"south carolina",15
"south dakota",4
"tennessee",59
"texas",180
"utah",14
"vermont",3
"virginia",47
"washington",16
"west virginia",8
"wisconsin",11
"wyoming",1
