"usStatelocation","Freq"
"alabama",183
"arizona",202
"arkansas",141
"california",1158
"colorado",177
"connecticut",229
"delaware",32
"district of columbia",240
"florida",469
"georgia",472
"idaho",46
"illinois",420
"indiana",191
"iowa",87
"kansas",1214
"kentucky",334
"louisiana",216
"maine",49
"maryland",281
"massachusetts",450
"michigan",265
"minnesota",147
"mississippi",74
"missouri",307
"montana",20
"nebraska",80
"nevada",136
"new hampshire",39
"new jersey",245
"new mexico",69
"new york",426
"north carolina",575
"north dakota",10
"ohio",533
"oklahoma",326
"oregon",234
"pennsylvania",519
"rhode island",49
"south carolina",149
"south dakota",16
"tennessee",393
"texas",1298
"utah",88
"vermont",22
"virginia",331
"washington",131
"west virginia",87
"wisconsin",134
"wyoming",28
